,title,prices,district,url_adress
0,ciche 3 pokoje z ogródkiem na parkowym osiedlu,800000,"Warszawa, Praga-Południe",https://www.olx.pl/oferta/ciche-3-pokoje-z-ogrodkiem-na-parkowym-osiedlu-CID3-IDBauRS.html#529fe8f04c;promoted
1,Nowoczesny apartament na 22. piętrze-wyposażony,800000,"Warszawa, Praga-Południe",https://www.olx.pl/oferta/nowoczesny-apartament-na-22-pietrze-wyposazony-CID3-IDDeDH6.html#529fe8f04c;promoted
2,"Rozkładowe mieszkanie pod klucz, ul. Jana Sobieskiego",800000,"Warszawa, Mokotów",https://www.olx.pl/oferta/rozkladowe-mieszkanie-pod-klucz-ul-jana-sobieskiego-CID3-IDCr4af.html#529fe8f04c;promoted
3,Przestronne mieszkanie z widokiem na Fort Bema,800000,"Warszawa, Bemowo",https://www.otodom.pl/oferta/przestronne-mieszkanie-z-widokiem-na-fort-bema-ID42PBY.html?;promoted
4,Apartament w sercu Powiśla ul. Wybrzeże Kościuszkowskie,800000,"Warszawa, Bemowo",https://www.olx.pl/oferta/apartament-w-sercu-powisla-ul-wybrzeze-kosciuszkowskie-CID3-IDD5Uli.html#529fe8f04c;promoted
5,"2 pokoje+garaż+komórka 6,3 m2",800000,"Warszawa, Białołęka",https://www.olx.pl/oferta/2-pokoje-garaz-komorka-6-3-m2-CID3-IDCYNBZ.html#529fe8f04c
6,"Mieszkanie 38m, 2 pokoje, 2013r, W-wa Bielany",800000,"Warszawa, Bielany",https://www.otodom.pl/oferta/mieszkanie-38m-2-pokoje-2013r-w-wa-bielany-ID44eZV.html?
7,~~ostatnie mieszkanie 77m2 za 9 200zł/m2~~,800000,"Warszawa, Wola",https://www.otodom.pl/oferta/ostatnie-mieszkanie-77m2-za-9-200zl-m2-ID44fjL.html?
8,"Mieszkanie 38m, 2 pokoje z aneksem, W-wa Bielany",800000,"Warszawa, Bielany",https://www.otodom.pl/oferta/mieszkanie-38m-2-pokoje-z-aneksem-w-wa-bielany-ID44eW0.html?
9,~~3 pokoje przy metrze w centrum PROMOCJA~~,800000,"Warszawa, Wola",https://www.otodom.pl/oferta/3-pokoje-przy-metrze-w-centrum-promocja-ID44fgQ.html?
10,"Bielany, pięknie odnowionym budynku, do zamieszkania, bezpośrednio.",800000,"Warszawa, Bielany",https://www.olx.pl/oferta/bielany-pieknie-odnowionym-budynku-do-zamieszkania-bezposrednio-CID3-IDD5t6B.html#529fe8f04c;promoted
11,Żoliborz 44m 2 pokoje NOWE lux wykończone wyposażone bezpośrednio,800000,"Warszawa, Żoliborz",https://www.olx.pl/oferta/zoliborz-44m-2-pokoje-nowe-lux-wykonczone-wyposazone-bezposrednio-CID3-IDD7bnr.html#529fe8f04c;promoted
12,Trzy pokojowe mieszkanie pod inwestycję - BEZ PROWIZJI!,800000,"Warszawa, Praga-Południe",https://www.olx.pl/oferta/trzy-pokojowe-mieszkanie-pod-inwestycje-bez-prowizji-CID3-IDD9edG.html#529fe8f04c
13,"2-3 pokojowe 59m2 Bemowo Gorce ,METRO",800000,"Warszawa, Bemowo",https://www.olx.pl/oferta/2-3-pokojowe-59m2-bemowo-gorce-metro-CID3-IDCIW4Z.html#529fe8f04c;promoted
14,2 pokoje taras miejsce postojowe Dolny Mokotów!,800000,"Warszawa, Mokotów",https://www.otodom.pl/oferta/2-pokoje-taras-miejsce-postojowe-dolny-mokotow-ID44bjR.html?
15,Świeżo wykończone mieszkanie dla dużej rodziny.,800000,"Warszawa, Wawer",https://www.otodom.pl/oferta/swiezo-wykonczone-mieszkanie-dla-duzej-rodziny-ID43ShR.html?
16,3 pokoje Tarchomin,800000,"Warszawa, Białołęka",https://www.otodom.pl/oferta/3-pokoje-tarchomin-ID43cn1.html?
17,3 pokoje + balkon | Kamienica | Centrum !,800000,"Warszawa, Śródmieście",https://www.otodom.pl/oferta/3-pokoje-balkon-kamienica-centrum-ID43SxL.html?
18,"Narożna, zabytkowa kamienica na Pradze Północ!",800000,"Warszawa, Praga-Północ",https://www.otodom.pl/oferta/narozna-zabytkowa-kamienica-na-pradze-polnoc-ID43Re4.html?
19,Warszawa Wrzeciono 17 Mieszkanie 38m2 Metro,800000,"Warszawa, Bielany",https://www.otodom.pl/oferta/warszawa-wrzeciono-17-mieszkanie-38m2-metro-ID442Zr.html?
20,LUX Apartament 2-pok. SGH/Metro!! Nowy!! KAMIENICA,800000,"Warszawa, Mokotów",https://www.otodom.pl/oferta/lux-apartament-2-pok-sgh-metro-nowy-kamienica-ID44fbL.html?
21,Okazja! Kameralne osiedle z dobrą komunikacją!,800000,"Warszawa, Białołęka",https://www.otodom.pl/oferta/okazja-kameralne-osiedle-z-dobra-komunikacja-ID44d9T.html?
22,"Warszawa, Kłobucka, 58,35 m2-0% od kupującego",800000,"Warszawa, Ursynów",https://www.otodom.pl/oferta/warszawa-klobucka-58-35-m2-0-od-kupujacego-ID446Dq.html?
23,"Warszawa, Mokotów, 46,90 m2- 0% od kupującego",800000,"Warszawa, Mokotów",https://www.otodom.pl/oferta/warszawa-mokotow-46-90-m2-0-od-kupujacego-ID43XJV.html?
24,2 pokoje na Ursynowie,800000,"Warszawa, Ursynów",https://www.olx.pl/oferta/2-pokoje-na-ursynowie-CID3-IDDdrQD.html#529fe8f04c;promoted
25,HIT! Bliska Wola ul.Kasprzaka - NOWE od Dwewlopera,800000,"Warszawa, Wola",https://www.otodom.pl/oferta/hit-bliska-wola-ul-kasprzaka-nowe-od-dwewlopera-ID44f9e.html?
26,Sprzedam mieszkanie,800000,"Warszawa, Rembertów",https://www.olx.pl/oferta/sprzedam-mieszkanie-CID3-IDDfhtK.html#529fe8f04c
27,Przytulne mieszkanie z własnym garażem,800000,"Warszawa, Ursynów",https://www.otodom.pl/oferta/przytulne-mieszkanie-z-wlasnym-garazem-ID442YM.html?
28,"BEZPOŚREDNIO Sprzedam mieszkanie 34,2m - 2 pokoje",800000,"Warszawa, Ursus",https://www.olx.pl/oferta/bezposrednio-sprzedam-mieszkanie-34-2m-2-pokoje-CID3-IDD5aln.html#529fe8f04c;promoted
29,Żoliborz/Bielany loft wys. 5 m z ogrodem 100m,800000,"Warszawa, Bielany",https://www.otodom.pl/oferta/zoliborz-bielany-loft-wys-5-m-z-ogrodem-100m-ID44f6J.html?
30,Mieszkanie 55m2- 3 pokoje + 100m2 ogród na wyłączność,800000,"Warszawa, Praga-Południe",https://www.olx.pl/oferta/mieszkanie-55m2-3-pokoje-100m2-ogrod-na-wylacznosc-CID3-IDCrZHD.html#529fe8f04c
31,"Sprzedam bezpośrednio dwupokojowe, dwustronne mieszkanie 48,08 m2, Wil",800000,"Warszawa, Wilanów",https://www.olx.pl/oferta/sprzedam-bezposrednio-dwupokojowe-dwustronne-mieszkanie-48-08-m2-wil-CID3-IDCSGmm.html#529fe8f04c;promoted
32,komfortowe 4 min od SKM Warszawa Międzylesie,800000,"Warszawa, Wawer",https://www.otodom.pl/oferta/komfortowe-4-min-od-skm-warszawa-miedzylesie-ID443ht.html?
33,Niepowtarzalne ciche mieszkanie 2 pokojowe przy Starówce..,800000,"Warszawa, Śródmieście",https://www.olx.pl/oferta/niepowtarzalne-ciche-mieszkanie-2-pokojowe-przy-starowce-CID3-IDD3oP3.html#529fe8f04c
34,"Warszawa Mokotów, Sielce, Luksusowe mieszkanie, 3 pokoje, bezpośrednio",800000,"Warszawa, Mokotów",https://www.olx.pl/oferta/warszawa-mokotow-sielce-luksusowe-mieszkanie-3-pokoje-bezposrednio-CID3-IDCUE0Q.html#529fe8f04c;promoted
35,Inwestycja Marszałkowska/ A reasonable investment,800000,"Warszawa, Śródmieście",https://www.olx.pl/oferta/inwestycja-marszalkowska-a-reasonable-investment-CID3-IDBmtUO.html#529fe8f04c;promoted
36,"Przytulne 2-POK z ogródkiem m.STOKŁOSY (41,7 mkw.)",800000,"Warszawa, Ursynów",https://www.otodom.pl/oferta/przytulne-2-pok-z-ogrodkiem-m-stoklosy-41-7-mkw-ID44f19.html?
37,Warszawa Wawer 4 pok. 91mkw 5700/m2!!! Bezpośrednio,800000,"Warszawa, Wawer",https://www.olx.pl/oferta/warszawa-wawer-4-pok-91mkw-5700-m2-bezposrednio-CID3-IDtVdhz.html#529fe8f04c
38,Idealne pod inwestycję na wynajem - nowe osiedle,800000,"Warszawa, Praga-Południe",https://www.otodom.pl/oferta/idealne-pod-inwestycje-na-wynajem-nowe-osiedle-ID43Xaw.html?
39,Bezpośrednio kawalerka na zielonych Bielanach*metro Słodowiec*UKSW*AWF,800000,"Warszawa, Bielany",https://www.olx.pl/oferta/bezposrednio-kawalerka-na-zielonych-bielanachmetro-slodowiecukswawf-CID3-IDCUqhO.html#529fe8f04c
40,"Piękne mieszkanie z TARASEM, ostatnie piętro!",800000,"Warszawa, Ursus",https://www.otodom.pl/oferta/piekne-mieszkanie-z-tarasem-ostatnie-pietro-ID43MHh.html?
41,Dwupokojowe mieszkanie na sprzedaż (ul. Szymczaka),800000,"Warszawa, Wola",https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-na-sprzedaz-ul-szymczaka-ID43VH0.html?
42,Sprzedam,800000,"Warszawa, Śródmieście",https://www.otodom.pl/oferta/sprzedam-ID3nRJV.html?
43,"Kamienica, 3 pokoje, ul. Lwowska",800000,"Warszawa, Śródmieście",https://www.olx.pl/oferta/kamienica-3-pokoje-ul-lwowska-CID3-IDDfcGA.html#529fe8f04c
